full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Séamus Coleman,32,Premier League,2018/2019,Defender,Everton,2560,Republic of Ireland,29,2,2
Sean Longstaff,23,Premier League,2018/2019,Midfielder,Newcastle United,688,England,9,1,0
Sean Morrison,30,Premier League,2018/2019,Defender,Cardiff City,3040,England,34,1,3
Sebastian Prödl,33,Premier League,2018/2019,Defender,Watford,13,Austria,1,0,0
Serge Aurier,28,Premier League,2018/2019,Defender,Tottenham Hotspur,564,Côte d'Ivoire,8,0,2
Sergio Aguero,32,Premier League,2018/2019,Forward,Manchester City,2480,Argentina,33,21,8
Sergio Germán Romero,34,Premier League,2018/2019,Goalkeeper,Manchester United,0,Argentina,0,0,0
Sergio Rico,27,Premier League,2018/2019,Goalkeeper,Fulham,2610,Spain,29,0,0
Shane Duffy,29,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,Republic of Ireland,35,5,1
Shane Long,34,Premier League,2018/2019,Forward,Southampton,1269,Republic of Ireland,26,5,1
Shinji Okazaki,34,Premier League,2018/2019,Forward,Leicester City,269,Japan,21,0,1
Shkodran Mustafi,28,Premier League,2018/2019,Defender,Arsenal,2617,Germany,31,2,0
Simon Francis,36,Premier League,2018/2019,Defender,AFC Bournemouth,1226,England,17,0,2
Simon Mignolet,33,Premier League,2018/2019,Goalkeeper,Liverpool,0,Belgium,0,0,0
Sokratis Papastathopoulos,32,Premier League,2018/2019,Defender,Arsenal,2199,Greece,25,1,2
Solomon March,26,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,England,35,1,5
Souleymane Bamba,36,Premier League,2018/2019,Defender,Cardiff City,2475,Côte d'Ivoire,28,4,1
Stefan Marius Johansen,30,Premier League,2018/2019,Midfielder,Fulham,412,Norway,12,0,0
Stefano Okaka,31,Premier League,2018/2019,Forward,Watford,22,Italy,2,0,0
Stephan Lichtsteiner,37,Premier League,2018/2019,Defender,Arsenal,940,Switzerland,14,0,0
Stephen Ward,35,Premier League,2018/2019,Defender,Burnley,230,Republic of Ireland,3,0,0
Steve Cook,29,Premier League,2018/2019,Defender,AFC Bournemouth,2787,England,31,1,1
Steve Mounié,26,Premier League,2018/2019,Forward,Huddersfield Town,1777,Benin,31,2,3
Steven Davis,36,Premier League,2018/2019,Midfielder,Southampton,96,Northern Ireland,3,0,1
Steven Defour,32,Premier League,2018/2019,Midfielder,Burnley,452,Belgium,6,0,0
Stuart Armstrong,29,Premier League,2018/2019,Midfielder,Southampton,1432,Scotland,29,3,2
Sullay Kaikai,25,Premier League,2018/2019,Midfielder,Crystal Palace,0,England,0,0,0
Sung-Yeung Ki,32,Premier League,2018/2019,Midfielder,Newcastle United,1302,South Korea,18,0,1
Tahith Chong,21,Premier League,2018/2019,Forward,Manchester United,36,Netherlands,2,0,0
Terence Kongolo,27,Premier League,2018/2019,Defender,Huddersfield Town,2722,Netherlands,32,1,1
Theo Walcott,32,Premier League,2018/2019,Forward,Everton,2122,England,37,5,2
Tim Ream,33,Premier League,2018/2019,Defender,Fulham,2051,USA,26,0,0
Timothy Eyoma,21,Premier League,2018/2019,Defender,Tottenham Hotspur,0,England,0,0,0
Timothy Fosu-Mensah,23,Premier League,2018/2019,Defender,Fulham,795,Netherlands,12,0,0
Toby Alderweireld,32,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,Belgium,34,0,0
Tom Cairney,30,Premier League,2018/2019,Midfielder,Fulham,2198,Scotland,31,1,1
Tom Cleverley,31,Premier League,2018/2019,Midfielder,Watford,470,England,13,1,0
Tom Davies,22,Premier League,2018/2019,Midfielder,Everton,975,England,16,0,0
Tom Heaton,34,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,19,0,0
Tom Smith,28,Premier League,2018/2019,Defender,Huddersfield Town,1141,England,15,0,0
